checking coverage with
forcefield = input/tm.v2.offxml
dataset = ../projects/valence-fitting/02_curate-data/datasets/combined-td.json
finished loading collection after 0.3 s
finished to_records after 148.5 s
finished counting results after 186.1 s
187 / 225 (83.1%) tors ids covered:
t1       16 [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t2       14 [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t3       15 [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]
t4       13 [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]
t5        8 [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t6       10 [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t7        5 [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t8        2 [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t9       12 [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]
t10       9 [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]
t11       6 [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]
t12       4 [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]
t13      10 [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]
t14       6 [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t15       3 [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]
t16       5 [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]
t17      13 [*:1]~[#6X3:2]-[#6X4:3]-[*:4]
t18      18 [*:1]-[#6X4:2]-[#6X3:3]=[*:4]
t18a      0 [*:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t18b      0 [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t19      14 [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]
t19a      1 [#1:1]-[#6X4:2]-[#6X3:3](~[#8X1])~[#8X1:4]
t20      20 [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t21      12 [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]
t22       9 [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t23      13 [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]
t24       8 [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]
