t87a [H]c1c([H])c([H])c2c(c1[H])C([H])([H])[N+](=C(N([H])[H])N([H])[H])C([H])([H])C2([H])[H]
t87a [H]OP(=O)([O-])C([H])([H])P(=O)(O[H])C([H])([H])N([H])/C(N([H])[H])=[N+](\C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
t87a [H]C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N(C([H])([H])[H])C([H])([H])[H])=[N+](C([H])([H])[H])C([H])([H])[H]
t130h [H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])[N+]2(N([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
t120h [H]N=S1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
t120h [H]N=S(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1(Cl)Cl
t120h [H]N1C(=O)C(=S(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)N([H])C1=O
t119h [H]N=S(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
t119h [H]N=S(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
t119h [H]N=S1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]
t62g [H]C1([H])C([H])([H])C1(C(=O)[O-])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
t62g [H]C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
t62g [H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
t133h [H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])[N+]2(N([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
t133h [H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])N([H])[N+]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H]
t133h [H]c1nc([H])c2c(c1[H])SC(C1=C(N([H])C(=O)C([H])([H])C([H])([H])[N+]34N5[C@@]([H])(C([H])([H])C([H])([H])[C@]5([H])C3([H])[H])C4([H])[H])SC3=C1C([H])([H])C([H])([H])N([H])C3([H])[H])=N2
t61g [H]OC([H])([H])C([H])([H])[N+]1(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
t61g [H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
t61g [H]C([H])(Cl)C([H])([H])[N+]1(P(=O)([O-])[N+]2(C([H])([H])C([H])([H])Cl)C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
t132h [H]N([H])c1nc([N+](N([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C#N)c(C#N)c1C#N
t132h [H]N1C([H])([H])C([H])([H])[N+](N([H])C([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1([H])[H]
t132h [H]C1=C2C([H])([H])[N+]3(N([H])[H])C([H])([H])C([H])([H])[C@]45c6c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c6N6C(=O)C([H])([H])[C@]([H])(OC1([H])[H])[C@@]([H])([C@]64[H])[C@@]2([H])C([H])([H])[C@@]53[H]
t138a [H]c1c([H])c([H])c(/C(=N/[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
t138a [H]/C(=N\[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])C([H])([H])[H])c1[H]
t138a [H]Oc1c(C([H])([H])[H])c(C([H])([H])[H])c2c(c1C([H])([H])[H])C([H])([H])C([H])([H])C(C(=O)[N-][N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])O2
t118h [H]C([H])([H])OS(=O)C([H])([H])C([H])([H])[H]
t118h [H]OS(=O)C([H])([H])c1c([H])c(N([H])[H])c(Cl)c(N([H])[H])c1[H]
t118h [H]C1=NC(C([H])([H])C([H])([H])C([H])([H])/N=S(\N([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])=C([H])N1[H]
t142j [H]C([H])([H])C#CC([H])([H])C([H])([H])C1([H])[S+]([O-])SC(=O)C1([H])[H]
t142j [H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[S+]([O-])SC([H])([H])C1([H])[H]
t142j [H]N=C(N([H])[H])N([H])[C@@]1([H])C([H])([H])C([S+]([O-])O[H])=C([H])C([H])([H])[C@]1([H])N([H])[H]
t116i [H]C(=O)C1=C([H])[S@+]([O-])C([H])([H])C([H])([H])C1([H])[H]
t116i [H]C1=C([H])[S+]([O-])c2c([H])c([H])c(C([H])([H])[H])c([H])c21
t116i [H]/C(=C(/[H])C([H])([H])[H])[S+]([O-])c1c([H])c(C(F)(F)F)c([H])c(C(F)(F)F)c1[H]
t89 [H]OC1=C([H])S(=O)(=O)N=C2Sc3c([H])c([H])c([H])c(OC([H])([H])[H])c3N21
