# Parameter  Molecules  Initial  MinPts    Eps  Found
 t143j              2        6       1    0.5      2
 t122g              3        5       1    0.5      2
 t133g              4        0       1    0.1      2
 t18b               8        0       1    0.1      2
 t87a              14        0       1    0.1      4
 t130h             18        0       1    0.1      8
 t120h             19        2       1    0.7      5
 t122l             19        2       1    0.7     10
 t42a              22       13       1    0.7      9
 t102              24        6       1    0.7     12
 t119h             28        3       1    0.7      6
 t62g              32        0       1    0.7      8
 t61g              33        0       1    0.7      9
 t133h             33        0       1    0.7      5
 t133i             42        5       1    0.7      7
 t122j             57        7       1    0.7      5
 t132h             58        8       1    0.7     11
 t130i             67        1       1    0.7     14
 t138a             96        0       1    0.7     12
 t103             100        8       2    0.74
 t118h            128        7       2    0.7     10
 t143k            132        5       2    0.67
 t112             147        4       2    0.66
 t142j            155        0       2    0.7     15
 t116i            158        0       2    0.65    16
  t164            189        5       2    0.7     13
 t8               199        6       2    0.73
  t113            226        8       2    0.65    11
 t7               250        8       2    0.73
 t155             280        9       2    0.75
 t126             281        3       2    0.75
 t73h             302       11       2    0.75
 t89              435        1       2    0.75
 # t74h             463       10       2    0.75
 # t142k            503        0       2    0.75
 # t54              700       10       2    0.75
 # t63              718       10       2    0.75
 # t55              942       12       2    0.75
 # t101             955        3       2    0.75
 # t133j           1052       10       5  0.725
 # t91             1168       10       5  0.725
 # t100            1613        6       5  0.725
 # t48a            1861        1       5  0.725
 # t141            1974        6       5  0.725
 # t65             2490       11       5  0.725
 # t30             2563        6       5  0.725
 # t153            2701       13       5  0.725
 # t142h           2749        9       5  0.725
 # t6              2809       14       5  0.725
 # t12             3035       14       5  0.725
 # t52             3339        9       5  0.725
 # t56             3394        8       5  0.725
 # t53             3525        9       5  0.725
 # t19a            3535        4       5  0.725
 # t88             3818        7       5  0.725
 # t57             3960        5       5  0.725
 # t18a            4245        3       5  0.725
 # t37             4484       14       5  0.725
 # t128            4494        8       5  0.725
 # t125            4963        9       5  0.725
 # t124            5129        7       5  0.725
 # t136            6210       14       5  0.725
 # t116j           6306        0       5  0.725
 # t72h            6969        4       5  0.725
 # t115h           7736        0       5  0.725
 # t71h            9470       10       5  0.725
 # t158           10273        5       5  0.725
 # t122i          11357        5       5  0.725
 # t82a           12265       11       5  0.725
 # t134           13017       11       5  0.725
 # t49            17544        9       5  0.725
 # t123a          17562       10       5  0.725
 # t82h           17847       10       5  0.725
 # t135           18139        8       5  0.725
 # t165           34267       13       5  0.725
 # t99            36126       14       5  0.725
 # t68            38862        9       5  0.725
 # t141b          53491        1       5  0.725
 # t150           62029        9       5  0.725
 # t81            81527        1       5  0.725
 # t83h           89906       12       5  0.725
 # t141c         139173        9       5  0.725
 # t141a         179719       10       5  0.725
